N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,900","1,600",2.21%,100,"4,411,669","5,969,783",55.91,"19,321,971",20.18,8.69,
2,SK하이닉스,"116,000","3,500",3.11%,"5,000","844,483","728,002",49.82,"3,163,539",29.43,4.25,
3,삼성전자우,"69,900","1,400",2.04%,100,"575,198","822,887",82.36,"2,641,537",19.09,N/A,
4,LG화학,"806,000","9,000",1.13%,"5,000","568,974","70,592",42.33,"456,435",75.31,1.84,
5,삼성바이오로직스,"796,000","7,000",-0.87%,"2,500","526,673","66,165",10.34,"118,507",148.2,4.77,
6,셀트리온,"355,000","4,000",-1.11%,"1,000","479,242","134,998",20.66,"1,400,783",94.09,11.19,
7,NAVER,"284,000",0,0.00%,100,"466,508","164,263",55.78,"506,798",56.54,10.56,
8,현대차,"185,000","1,000",0.54%,"5,000","395,286","213,668",30.63,"1,292,561",44.21,4.32,
9,삼성SDI,"554,000","1,000",-0.18%,"5,000","380,955","68,765",43.96,"263,491",189.01,2.94,
10,카카오,"377,500","1,500",0.40%,500,"333,371","88,310",31.85,"627,022",-418.98,-5.81,
11,삼성물산,"137,000","4,500",3.40%,100,"256,035","186,887",14.19,"1,740,448",22.95,4.77,
12,LG생활건강,"1,611,000","5,000",0.31%,"5,000","251,609","15,618",45.6,"17,966",36.09,20.32,
13,기아차,"61,400","1,600",2.68%,"5,000","248,893","405,363",37.42,"1,653,171",28.53,6.5,
14,현대모비스,"251,000","7,000",2.87%,"5,000","238,587","95,055",43.18,"359,496",15.31,7.28,
15,POSCO,"267,500",0,0.00%,"5,000","233,225","87,187",50.68,"289,342",24.5,4.18,
16,SK텔레콤,"245,000","1,000",0.41%,500,"197,827","80,746",33.92,"210,218",18.04,3.92,
17,LG전자,"119,500","27,300",29.61%,"5,000","195,559","163,648",36.26,"16,558,251",25.96,0.22,
18,엔씨소프트,"888,000","23,000",2.66%,500,"194,952","21,954",48.18,"141,047",34.75,14.72,
19,KB금융,"44,000",550,-1.23%,"5,000","182,955","415,808",65.4,"1,719,583",5.37,8.92,
20,한국전력,"26,800",0,0.00%,"5,000","172,046","641,964",17.32,"7,549,567",186.11,-3.42,
21,신한지주,"32,850",300,-0.90%,"5,000","169,679","516,527",57.4,"2,117,510",4.71,9.09,
22,SK,"239,500","4,000",1.70%,200,"168,513","70,360",21.4,"260,483","1,010.55",4.31,
23,SK이노베이션,"180,500","1,500",-0.82%,"5,000","166,900","92,466",24.28,"586,116",-6.86,-0.2,
24,삼성생명,"80,500",500,0.63%,500,"161,000","200,000",12.04,"777,805",16.17,3.26,
25,LG,"86,400","8,100",10.34%,"5,000","149,089","172,557",34.64,"6,576,393",12.21,5.87,
26,삼성에스디에스,"178,000",500,0.28%,500,"137,732","77,378",11.79,"157,986",26.28,11.76,
27,SK바이오팜,"171,000","1,500",-0.87%,500,"133,916","78,313",5.09,"130,301",-155.45,-313.66,
28,삼성전기,"167,000","3,000",1.83%,"5,000","124,738","74,694",34.05,"809,973",34.21,10.18,
29,KT&G,"87,600",300,0.34%,"5,000","120,268","137,292",40.5,"671,235",12.22,12.39,
30,아모레퍼시픽,"199,500","3,000",-1.48%,500,"116,625","58,458",32.18,"174,392",320.74,5.36,
31,넷마블,"124,000","1,500",1.22%,100,"106,448","85,845",22.39,"262,819",50.22,3.54,
32,하나금융지주,"34,900",650,-1.83%,"5,000","104,784","300,242",65.18,"1,300,800",4.27,8.77,
33,삼성화재,"194,000",0,0.00%,500,"91,907","47,375",44.48,"114,581",14.18,4.85,
34,롯데케미칼,"258,000","2,000",-0.77%,"5,000","88,431","34,275",26.58,"237,455",76.26,5.51,
35,한온시스템,"16,150",850,5.56%,100,"86,209","533,800",20.45,"6,319,949",61.41,14.98,
36,고려아연,"412,500","1,000",-0.24%,"5,000","77,839","18,870",23.77,"45,943",13.9,9.76,
37,S-Oil,"67,700","1,600",-2.31%,"2,500","76,219","112,583",75.52,"603,811",-9.08,1.01,
38,한국조선해양,"107,500","2,000",-1.83%,"5,000","76,081","70,773",16.33,"381,874",355.96,1.4,
39,한화솔루션,"46,400",800,1.75%,"5,000","74,177","159,864",19.16,"2,609,790",-82.56,-4.02,
40,우리금융지주,"10,000",30,0.30%,"5,000","72,227","722,268",25.07,"1,533,287",5.36,N/A,
41,기업은행,"9,350",20,0.21%,"5,000","69,065","738,664",10.08,"1,529,120",4.78,7.36,
42,현대글로비스,"180,500","1,000",0.56%,500,"67,688","37,500",35.53,"198,118",10.14,11.25,
43,KT,"25,150",50,-0.20%,"5,000","65,670","261,112",44.04,"1,485,165",10.72,4.61,
44,LG디스플레이,"18,250","1,100",6.41%,"5,000","65,301","357,816",23.86,"41,537,697",-2.66,-22.35,
45,포스코케미칼,"104,500","1,000",-0.95%,500,"63,733","60,988",7.29,"482,506",237.5,11.57,
46,미래에셋대우,"9,570",130,1.38%,"5,000","61,757","645,316",14.27,"1,917,003",10,7.56,
47,신풍제약,"113,500","7,000",-5.81%,500,"60,138","52,985",11.29,"3,057,125","3,152.78",0.8,
48,CJ제일제당,"384,500","5,500",1.45%,"5,000","57,883","15,054",24.2,"58,490",7.98,3.16,
49,빅히트,"153,000","1,500",-0.97%,500,"54,504","35,624",3.46,"147,195",N/A,56.47,
50,코웨이,"71,600",600,0.85%,500,"52,841","73,800",60.27,"178,854",14.8,30.74,
1,삼성전자,"73,900","1,600",2.21%,100,"4,411,669","5,969,783",55.91,"19,321,971",20.18,8.69,
2,SK하이닉스,"116,000","3,500",3.11%,"5,000","844,483","728,002",49.82,"3,163,539",29.43,4.25,
3,삼성전자우,"69,900","1,400",2.04%,100,"575,198","822,887",82.36,"2,641,537",19.09,N/A,
4,LG화학,"806,000","9,000",1.13%,"5,000","568,974","70,592",42.33,"456,435",75.31,1.84,
5,삼성바이오로직스,"796,000","7,000",-0.87%,"2,500","526,673","66,165",10.34,"118,507",148.2,4.77,
6,셀트리온,"355,000","4,000",-1.11%,"1,000","479,242","134,998",20.66,"1,400,783",94.09,11.19,
7,NAVER,"284,000",0,0.00%,100,"466,508","164,263",55.78,"506,798",56.54,10.56,
8,현대차,"185,000","1,000",0.54%,"5,000","395,286","213,668",30.63,"1,292,561",44.21,4.32,
9,삼성SDI,"554,000","1,000",-0.18%,"5,000","380,955","68,765",43.96,"263,491",189.01,2.94,
10,카카오,"377,500","1,500",0.40%,500,"333,371","88,310",31.85,"627,022",-418.98,-5.81,
11,삼성물산,"137,000","4,500",3.40%,100,"256,035","186,887",14.19,"1,740,448",22.95,4.77,
12,LG생활건강,"1,611,000","5,000",0.31%,"5,000","251,609","15,618",45.6,"17,966",36.09,20.32,
13,기아차,"61,400","1,600",2.68%,"5,000","248,893","405,363",37.42,"1,653,171",28.53,6.5,
14,현대모비스,"251,000","7,000",2.87%,"5,000","238,587","95,055",43.18,"359,496",15.31,7.28,
15,POSCO,"267,500",0,0.00%,"5,000","233,225","87,187",50.68,"289,342",24.5,4.18,
16,SK텔레콤,"245,000","1,000",0.41%,500,"197,827","80,746",33.92,"210,218",18.04,3.92,
17,LG전자,"119,500","27,300",29.61%,"5,000","195,559","163,648",36.26,"16,558,251",25.96,0.22,
18,엔씨소프트,"888,000","23,000",2.66%,500,"194,952","21,954",48.18,"141,047",34.75,14.72,
19,KB금융,"44,000",550,-1.23%,"5,000","182,955","415,808",65.4,"1,719,583",5.37,8.92,
20,한국전력,"26,800",0,0.00%,"5,000","172,046","641,964",17.32,"7,549,567",186.11,-3.42,
21,신한지주,"32,850",300,-0.90%,"5,000","169,679","516,527",57.4,"2,117,510",4.71,9.09,
22,SK,"239,500","4,000",1.70%,200,"168,513","70,360",21.4,"260,483","1,010.55",4.31,
23,SK이노베이션,"180,500","1,500",-0.82%,"5,000","166,900","92,466",24.28,"586,116",-6.86,-0.2,
24,삼성생명,"80,500",500,0.63%,500,"161,000","200,000",12.04,"777,805",16.17,3.26,
25,LG,"86,400","8,100",10.34%,"5,000","149,089","172,557",34.64,"6,576,393",12.21,5.87,
26,삼성에스디에스,"178,000",500,0.28%,500,"137,732","77,378",11.79,"157,986",26.28,11.76,
27,SK바이오팜,"171,000","1,500",-0.87%,500,"133,916","78,313",5.09,"130,301",-155.45,-313.66,
28,삼성전기,"167,000","3,000",1.83%,"5,000","124,738","74,694",34.05,"809,973",34.21,10.18,
29,KT&G,"87,600",300,0.34%,"5,000","120,268","137,292",40.5,"671,235",12.22,12.39,
30,아모레퍼시픽,"199,500","3,000",-1.48%,500,"116,625","58,458",32.18,"174,392",320.74,5.36,
31,넷마블,"124,000","1,500",1.22%,100,"106,448","85,845",22.39,"262,819",50.22,3.54,
32,하나금융지주,"34,900",650,-1.83%,"5,000","104,784","300,242",65.18,"1,300,800",4.27,8.77,
33,삼성화재,"194,000",0,0.00%,500,"91,907","47,375",44.48,"114,581",14.18,4.85,
34,롯데케미칼,"258,000","2,000",-0.77%,"5,000","88,431","34,275",26.58,"237,455",76.26,5.51,
35,한온시스템,"16,150",850,5.56%,100,"86,209","533,800",20.45,"6,319,949",61.41,14.98,
36,고려아연,"412,500","1,000",-0.24%,"5,000","77,839","18,870",23.77,"45,943",13.9,9.76,
37,S-Oil,"67,700","1,600",-2.31%,"2,500","76,219","112,583",75.52,"603,811",-9.08,1.01,
38,한국조선해양,"107,500","2,000",-1.83%,"5,000","76,081","70,773",16.33,"381,874",355.96,1.4,
39,한화솔루션,"46,400",800,1.75%,"5,000","74,177","159,864",19.16,"2,609,790",-82.56,-4.02,
40,우리금융지주,"10,000",30,0.30%,"5,000","72,227","722,268",25.07,"1,533,287",5.36,N/A,
41,기업은행,"9,350",20,0.21%,"5,000","69,065","738,664",10.08,"1,529,120",4.78,7.36,
42,현대글로비스,"180,500","1,000",0.56%,500,"67,688","37,500",35.53,"198,118",10.14,11.25,
43,KT,"25,150",50,-0.20%,"5,000","65,670","261,112",44.04,"1,485,165",10.72,4.61,
44,LG디스플레이,"18,250","1,100",6.41%,"5,000","65,301","357,816",23.86,"41,537,697",-2.66,-22.35,
45,포스코케미칼,"104,500","1,000",-0.95%,500,"63,733","60,988",7.29,"482,506",237.5,11.57,
46,미래에셋대우,"9,570",130,1.38%,"5,000","61,757","645,316",14.27,"1,917,003",10,7.56,
47,신풍제약,"113,500","7,000",-5.81%,500,"60,138","52,985",11.29,"3,057,125","3,152.78",0.8,
48,CJ제일제당,"384,500","5,500",1.45%,"5,000","57,883","15,054",24.2,"58,490",7.98,3.16,
49,빅히트,"153,000","1,500",-0.97%,500,"54,504","35,624",3.46,"147,195",N/A,56.47,
50,코웨이,"71,600",600,0.85%,500,"52,841","73,800",60.27,"178,854",14.8,30.74,
1,삼성전자,"73,900","1,600",2.21%,100,"4,411,669","5,969,783",55.91,"19,321,971",20.18,8.69,
2,SK하이닉스,"116,000","3,500",3.11%,"5,000","844,483","728,002",49.82,"3,163,539",29.43,4.25,
3,삼성전자우,"69,900","1,400",2.04%,100,"575,198","822,887",82.36,"2,641,537",19.09,N/A,
4,LG화학,"806,000","9,000",1.13%,"5,000","568,974","70,592",42.33,"456,435",75.31,1.84,
5,삼성바이오로직스,"796,000","7,000",-0.87%,"2,500","526,673","66,165",10.34,"118,507",148.2,4.77,
6,셀트리온,"355,000","4,000",-1.11%,"1,000","479,242","134,998",20.66,"1,400,783",94.09,11.19,
7,NAVER,"284,000",0,0.00%,100,"466,508","164,263",55.78,"506,798",56.54,10.56,
8,현대차,"185,000","1,000",0.54%,"5,000","395,286","213,668",30.63,"1,292,561",44.21,4.32,
9,삼성SDI,"554,000","1,000",-0.18%,"5,000","380,955","68,765",43.96,"263,491",189.01,2.94,
10,카카오,"377,500","1,500",0.40%,500,"333,371","88,310",31.85,"627,022",-418.98,-5.81,
11,삼성물산,"137,000","4,500",3.40%,100,"256,035","186,887",14.19,"1,740,448",22.95,4.77,
12,LG생활건강,"1,611,000","5,000",0.31%,"5,000","251,609","15,618",45.6,"17,966",36.09,20.32,
13,기아차,"61,400","1,600",2.68%,"5,000","248,893","405,363",37.42,"1,653,171",28.53,6.5,
14,현대모비스,"251,000","7,000",2.87%,"5,000","238,587","95,055",43.18,"359,496",15.31,7.28,
15,POSCO,"267,500",0,0.00%,"5,000","233,225","87,187",50.68,"289,342",24.5,4.18,
16,SK텔레콤,"245,000","1,000",0.41%,500,"197,827","80,746",33.92,"210,218",18.04,3.92,
17,LG전자,"119,500","27,300",29.61%,"5,000","195,559","163,648",36.26,"16,558,251",25.96,0.22,
18,엔씨소프트,"888,000","23,000",2.66%,500,"194,952","21,954",48.18,"141,047",34.75,14.72,
19,KB금융,"44,000",550,-1.23%,"5,000","182,955","415,808",65.4,"1,719,583",5.37,8.92,
20,한국전력,"26,800",0,0.00%,"5,000","172,046","641,964",17.32,"7,549,567",186.11,-3.42,
21,신한지주,"32,850",300,-0.90%,"5,000","169,679","516,527",57.4,"2,117,510",4.71,9.09,
22,SK,"239,500","4,000",1.70%,200,"168,513","70,360",21.4,"260,483","1,010.55",4.31,
23,SK이노베이션,"180,500","1,500",-0.82%,"5,000","166,900","92,466",24.28,"586,116",-6.86,-0.2,
24,삼성생명,"80,500",500,0.63%,500,"161,000","200,000",12.04,"777,805",16.17,3.26,
25,LG,"86,400","8,100",10.34%,"5,000","149,089","172,557",34.64,"6,576,393",12.21,5.87,
26,삼성에스디에스,"178,000",500,0.28%,500,"137,732","77,378",11.79,"157,986",26.28,11.76,
27,SK바이오팜,"171,000","1,500",-0.87%,500,"133,916","78,313",5.09,"130,301",-155.45,-313.66,
28,삼성전기,"167,000","3,000",1.83%,"5,000","124,738","74,694",34.05,"809,973",34.21,10.18,
29,KT&G,"87,600",300,0.34%,"5,000","120,268","137,292",40.5,"671,235",12.22,12.39,
30,아모레퍼시픽,"199,500","3,000",-1.48%,500,"116,625","58,458",32.18,"174,392",320.74,5.36,
31,넷마블,"124,000","1,500",1.22%,100,"106,448","85,845",22.39,"262,819",50.22,3.54,
32,하나금융지주,"34,900",650,-1.83%,"5,000","104,784","300,242",65.18,"1,300,800",4.27,8.77,
33,삼성화재,"194,000",0,0.00%,500,"91,907","47,375",44.48,"114,581",14.18,4.85,
34,롯데케미칼,"258,000","2,000",-0.77%,"5,000","88,431","34,275",26.58,"237,455",76.26,5.51,
35,한온시스템,"16,150",850,5.56%,100,"86,209","533,800",20.45,"6,319,949",61.41,14.98,
36,고려아연,"412,500","1,000",-0.24%,"5,000","77,839","18,870",23.77,"45,943",13.9,9.76,
37,S-Oil,"67,700","1,600",-2.31%,"2,500","76,219","112,583",75.52,"603,811",-9.08,1.01,
38,한국조선해양,"107,500","2,000",-1.83%,"5,000","76,081","70,773",16.33,"381,874",355.96,1.4,
39,한화솔루션,"46,400",800,1.75%,"5,000","74,177","159,864",19.16,"2,609,790",-82.56,-4.02,
40,우리금융지주,"10,000",30,0.30%,"5,000","72,227","722,268",25.07,"1,533,287",5.36,N/A,
41,기업은행,"9,350",20,0.21%,"5,000","69,065","738,664",10.08,"1,529,120",4.78,7.36,
42,현대글로비스,"180,500","1,000",0.56%,500,"67,688","37,500",35.53,"198,118",10.14,11.25,
43,KT,"25,150",50,-0.20%,"5,000","65,670","261,112",44.04,"1,485,165",10.72,4.61,
44,LG디스플레이,"18,250","1,100",6.41%,"5,000","65,301","357,816",23.86,"41,537,697",-2.66,-22.35,
45,포스코케미칼,"104,500","1,000",-0.95%,500,"63,733","60,988",7.29,"482,506",237.5,11.57,
46,미래에셋대우,"9,570",130,1.38%,"5,000","61,757","645,316",14.27,"1,917,003",10,7.56,
47,신풍제약,"113,500","7,000",-5.81%,500,"60,138","52,985",11.29,"3,057,125","3,152.78",0.8,
48,CJ제일제당,"384,500","5,500",1.45%,"5,000","57,883","15,054",24.2,"58,490",7.98,3.16,
49,빅히트,"153,000","1,500",-0.97%,500,"54,504","35,624",3.46,"147,195",N/A,56.47,
50,코웨이,"71,600",600,0.85%,500,"52,841","73,800",60.27,"178,854",14.8,30.74,
1,삼성전자,"73,900","1,600",2.21%,100,"4,411,669","5,969,783",55.91,"19,321,971",20.18,8.69,
2,SK하이닉스,"116,000","3,500",3.11%,"5,000","844,483","728,002",49.82,"3,163,539",29.43,4.25,
3,삼성전자우,"69,900","1,400",2.04%,100,"575,198","822,887",82.36,"2,641,537",19.09,N/A,
4,LG화학,"806,000","9,000",1.13%,"5,000","568,974","70,592",42.33,"456,435",75.31,1.84,
5,삼성바이오로직스,"796,000","7,000",-0.87%,"2,500","526,673","66,165",10.34,"118,507",148.2,4.77,
6,셀트리온,"355,000","4,000",-1.11%,"1,000","479,242","134,998",20.66,"1,400,783",94.09,11.19,
7,NAVER,"284,000",0,0.00%,100,"466,508","164,263",55.78,"506,798",56.54,10.56,
8,현대차,"185,000","1,000",0.54%,"5,000","395,286","213,668",30.63,"1,292,561",44.21,4.32,
9,삼성SDI,"554,000","1,000",-0.18%,"5,000","380,955","68,765",43.96,"263,491",189.01,2.94,
10,카카오,"377,500","1,500",0.40%,500,"333,371","88,310",31.85,"627,022",-418.98,-5.81,
11,삼성물산,"137,000","4,500",3.40%,100,"256,035","186,887",14.19,"1,740,448",22.95,4.77,
12,LG생활건강,"1,611,000","5,000",0.31%,"5,000","251,609","15,618",45.6,"17,966",36.09,20.32,
13,기아차,"61,400","1,600",2.68%,"5,000","248,893","405,363",37.42,"1,653,171",28.53,6.5,
14,현대모비스,"251,000","7,000",2.87%,"5,000","238,587","95,055",43.18,"359,496",15.31,7.28,
15,POSCO,"267,500",0,0.00%,"5,000","233,225","87,187",50.68,"289,342",24.5,4.18,
16,SK텔레콤,"245,000","1,000",0.41%,500,"197,827","80,746",33.92,"210,218",18.04,3.92,
17,LG전자,"119,500","27,300",29.61%,"5,000","195,559","163,648",36.26,"16,558,251",25.96,0.22,
18,엔씨소프트,"888,000","23,000",2.66%,500,"194,952","21,954",48.18,"141,047",34.75,14.72,
19,KB금융,"44,000",550,-1.23%,"5,000","182,955","415,808",65.4,"1,719,583",5.37,8.92,
20,한국전력,"26,800",0,0.00%,"5,000","172,046","641,964",17.32,"7,549,567",186.11,-3.42,
21,신한지주,"32,850",300,-0.90%,"5,000","169,679","516,527",57.4,"2,117,510",4.71,9.09,
22,SK,"239,500","4,000",1.70%,200,"168,513","70,360",21.4,"260,483","1,010.55",4.31,
23,SK이노베이션,"180,500","1,500",-0.82%,"5,000","166,900","92,466",24.28,"586,116",-6.86,-0.2,
24,삼성생명,"80,500",500,0.63%,500,"161,000","200,000",12.04,"777,805",16.17,3.26,
25,LG,"86,400","8,100",10.34%,"5,000","149,089","172,557",34.64,"6,576,393",12.21,5.87,
26,삼성에스디에스,"178,000",500,0.28%,500,"137,732","77,378",11.79,"157,986",26.28,11.76,
27,SK바이오팜,"171,000","1,500",-0.87%,500,"133,916","78,313",5.09,"130,301",-155.45,-313.66,
28,삼성전기,"167,000","3,000",1.83%,"5,000","124,738","74,694",34.05,"809,973",34.21,10.18,
29,KT&G,"87,600",300,0.34%,"5,000","120,268","137,292",40.5,"671,235",12.22,12.39,
30,아모레퍼시픽,"199,500","3,000",-1.48%,500,"116,625","58,458",32.18,"174,392",320.74,5.36,
31,넷마블,"124,000","1,500",1.22%,100,"106,448","85,845",22.39,"262,819",50.22,3.54,
32,하나금융지주,"34,900",650,-1.83%,"5,000","104,784","300,242",65.18,"1,300,800",4.27,8.77,
33,삼성화재,"194,000",0,0.00%,500,"91,907","47,375",44.48,"114,581",14.18,4.85,
34,롯데케미칼,"258,000","2,000",-0.77%,"5,000","88,431","34,275",26.58,"237,455",76.26,5.51,
35,한온시스템,"16,150",850,5.56%,100,"86,209","533,800",20.45,"6,319,949",61.41,14.98,
36,고려아연,"412,500","1,000",-0.24%,"5,000","77,839","18,870",23.77,"45,943",13.9,9.76,
37,S-Oil,"67,700","1,600",-2.31%,"2,500","76,219","112,583",75.52,"603,811",-9.08,1.01,
38,한국조선해양,"107,500","2,000",-1.83%,"5,000","76,081","70,773",16.33,"381,874",355.96,1.4,
39,한화솔루션,"46,400",800,1.75%,"5,000","74,177","159,864",19.16,"2,609,790",-82.56,-4.02,
40,우리금융지주,"10,000",30,0.30%,"5,000","72,227","722,268",25.07,"1,533,287",5.36,N/A,
41,기업은행,"9,350",20,0.21%,"5,000","69,065","738,664",10.08,"1,529,120",4.78,7.36,
42,현대글로비스,"180,500","1,000",0.56%,500,"67,688","37,500",35.53,"198,118",10.14,11.25,
43,KT,"25,150",50,-0.20%,"5,000","65,670","261,112",44.04,"1,485,165",10.72,4.61,
44,LG디스플레이,"18,250","1,100",6.41%,"5,000","65,301","357,816",23.86,"41,537,697",-2.66,-22.35,
45,포스코케미칼,"104,500","1,000",-0.95%,500,"63,733","60,988",7.29,"482,506",237.5,11.57,
46,미래에셋대우,"9,570",130,1.38%,"5,000","61,757","645,316",14.27,"1,917,003",10,7.56,
47,신풍제약,"113,500","7,000",-5.81%,500,"60,138","52,985",11.29,"3,057,125","3,152.78",0.8,
48,CJ제일제당,"384,500","5,500",1.45%,"5,000","57,883","15,054",24.2,"58,490",7.98,3.16,
49,빅히트,"153,000","1,500",-0.97%,500,"54,504","35,624",3.46,"147,195",N/A,56.47,
50,코웨이,"71,600",600,0.85%,500,"52,841","73,800",60.27,"178,854",14.8,30.74,
